RPO,Description,Detail,"Grand Sport X Coupe
1YG07
1LT","Grand Sport X Coupe
1YG07
2LT","Grand Sport X Coupe
1YG07
3LT","Grand Sport X Convertible
1YG67
1LT","Grand Sport X Convertible
1YG67
2LT","Grand Sport X Convertible
1YG67
3LT"
DPT,Carbon Flash with Silver accent Full Length Dual Racing Stripes,,A,A,A,A,A,A
DTH,Carbon Flash Metallic Full Length Dual Racing Stripes,,A,A,A,A,A,A
DSY,"Edge Orange Full Length Dual Racing Stripes
1. Not available with exterior color (G26) Sebring Orange Tintcoat.",1. Not available with exterior color (G26) Sebring Orange Tintcoat.,A1,A1,A1,A1,A1,A1
DSZ,"Edge Red Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.",1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.,A1,A1,A1,A1,A1,A1
DUB,Sterling Silver Full Length Dual Racing Stripes,,A,A,A,A,A,A
DT0,"Competition Yellow Full Length Dual Racing Stripes
1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.",1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.,A1,A1,A1,A1,A1,A1
DZX,"Carbon Flash/Edge Red Stinger Stripe
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.",1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.,A1,A1,A1,A1,A1,A1
DZV,Carbon Flash/Midnight Silver Stinger Stripe,,A,A,A,A,A,A
DZU,"Carbon Flash/Competition Yellow Stinger Stripe
1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.",1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.,A1,A1,A1,A1,A1,A1
XFT,"Tires, 275/30ZR20 front and 345/25ZR21 rear, all-season, blackwall, performance",,S,S,S,S,S,S
XFR,"Tires, 275/30ZR20 front and 345/25ZR21 rear, blackwall, high performance
1. Included and only available with (FED) Sport Performance Package.",1. Included and only available with (FED) Sport Performance Package.,A1,A1,A1,A1,A1,A1
SWM,"Wheels, 20"" x 10"" (50.8 cm x 25.4 cm) front and 21"" x 13"" (53.3 cm x 33 cm) rear 10-spoke, Pearl Nickel forged aluminum",,S,S,S,S,S,S
SWN,"Wheels, 20"" x 10"" (50.8 cm x 25.4 cm) front and 21"" x 13"" (53.3 cm x 33 cm) rear 10-spoke, Gloss Black forged aluminum",,A,A,A,A,A,A
SWP,"Wheels, 20"" x 10"" (50.8 cm x 25.4 cm) front and 21"" x 13"" (53.3 cm x 33 cm) rear 10-spoke, Carbon Flash-painted with bright polished face forged aluminum",,A,A,A,A,A,A
SWO,"Wheels, 20"" x 10"" (50.8 cm x 25.4 cm) front and 21"" x 13"" (53.3 cm x 33 cm) rear 10-spoke, high polished forged aluminum",,A,A,A,A,A,A
ROY,"Wheels, 20"" x 10"" (50.8 cm x 25.4 cm) front and 21"" x 13"" (53.3 cm x 33 cm) rear Carbon Flash-painted carbon fiber",,A,A,A,A,A,A
ROZ,"Wheels, 20"" x 10"" (50.8 cm x 25.4 cm) front and 21"" x 13"" (53.3 cm x 33 cm) rear visible carbon fiber",,A,A,A,A,A,A
STZ,"Wheels, 20"" x 10"" (50.8 cm x 25.4 cm) front and 21"" x 13"" (53.3 cm x 33 cm) rear visible carbon fiber with Red stripe",,A,A,A,A,A,A
SOM,"Wheels, 20"" x 10"" (50.8 cm x 25.4 cm) front and 21"" x 13"" (53.3 cm x 33 cm) rear bright polished forged aluminum",,A,A,A,A,A,A
SON,"Wheels, 20"" x 10"" (50.8 cm x 25.4 cm) front and 21"" x 13"" (53.3 cm x 33 cm) rear Gloss Black forged aluminum",,A,A,A,A,A,A
ROU,"Wheels, 20"" x 10"" (50.8 cm x 25.4 cm) front and 21"" x 13"" (53.3 cm x 33 cm) rear Pearl Nickel forged aluminum",,A,A,A,A,A,A
ROX,"Wheels, 20"" x 10"" (50.8 cm x 25.4 cm) front and 21"" x 13"" (53.3 cm x 33 cm) rear Carbon Flash with machined edge forged aluminum",,A,A,A,A,A,A
,"Wipers, front intermittent",,S,S,S,S,S,S
AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.","1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",S1,S1,S1,S1,S1,S1
CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",,S,S,S,S,S,S
,Air filtration system with pollen filter,,S,S,S,S,S,S
IVE,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones",,S,S,S,S,S,S
UQS,"Audio system feature, Bose Premium 10-speaker system",,S,--,--,S,--,--
UQH,"Audio system feature, Bose Performance Series Sound System with 14 speakers",,--,■,■,--,■,■
AP9,"Cargo nets, 2",,--,■,■,--,■,■
D30,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat  belt color combinations 
1. To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge.","1. To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge.",A1,A1,A1,A1,A1,A1
R6X,"Custom Interior Trim and Seat Combination
1. SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart.","1. SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart.",--,--,A1,--,--,A1
U80,"Compass, digital",,S,S,S,S,S,S
,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage",,S,S,S,S,S,S
,"Cruise control, electronic with set and resume speed",,S,S,S,S,S,S
,"Door locks, power programmable with lockout protection",,S,S,S,S,S,S
,"Floor mats, carpeted",,S,S,S,S,S,S
UEU,Forward Collision Alert,,S,S,S,S,S,S
,"Hatch release, push button open",,S,S,S,--,--,--
UV6,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit",,S,S,S,S,S,S
,"Keyless Open and Start, includes 2 remote transmitters that enable automatic door unlock and open by touching door switch",,S,S,S,S,S,S
UHX,Lane Keep Assist with Lane Departure Warning,,S,S,S,S,S,S
,"Lighting, interior, theater dimming",,S,S,S,S,S,S
PEF,"LPO, Contoured Liner Protection Package, includes (CAV) contoured cargo area liners with Jake logo and (RIA) all-weather floor liners with Jake logo, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
PDY,"LPO, Roadside Safety Package, includes (RYT) First Aid Kit, LPO and (S08) Highway Safety Kit, LPO, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
W2D,"LPO, Cargo net set, Genuine Corvette Accessory",,A/D,--,--,A/D,--,--
RWU,"LPO, Cargo area organizer, collapsible, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
CAV,"LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO.","1. Included with (PEF) Contoured Liner Protection Package, LPO.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
RIA,"LPO, All-weather floor liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO.","1. Included with (PEF) Contoured Liner Protection Package, LPO.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
RYT,"LPO, First Aid Kit, Genuine Corvette Accessory
1. Included with (PDY) Roadside Safety Package.",1. Included with (PDY) Roadside Safety Package.,A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
VYW,"LPO, Floor mats, premium carpeted with car silhouette logo on Stingray, Grand Sport, Grand Sport X, ZR1 and ZR1X models, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
SXB,"LPO, Suede frunk and trunk compartment liner, Black, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
SXR,"LPO, Suede frunk and trunk compartment liner, Adrenaline Red, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
SXT,"LPO, Suede frunk and trunk compartment liner, Natural, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
S08,"LPO, Highway Safety Kit, Genuine Corvette Accessory
1. Included with (PDY) Roadside Safety Package.",1. Included with (PDY) Roadside Safety Package.,A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
S2L,"LPO, Set of premium leather weekend/travel bags, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
SC7,"LPO, Roof panel storage pouch, Genuine Corvette Accessory
1. Included with (SBT) dual roof, LPO.","1. Included with (SBT) dual roof, LPO.",A/D1,A/D1,A/D1,--,--,--
V8X,"LPO, Visible Carbon Fiber sill plates Genuine Corvette Accessory
1. Not available at this time.",1. Not available at this time.,--,--,A/D1,--,--,A/D1
AQA,"Memory Driver and Passenger Convenience Package, includes steering wheel and outside mirrors plus seat memory for both driver and passenger; key fob or door button activated",,--,■,■,--,■,■
DRZ,"Rear Camera Mirror, inside rearview auto-dimming with full camera display",,S,S,S,S,S,S
UE1,"OnStar services capable
1. See onstar.com for details and limitations. Services vary by model. Service plan required.",1. See onstar.com for details and limitations. Services vary by model. Service plan required.,S1,S1,S1,S1,S1,S1
VV4,"Wi-Fi Hotspot capable
1. Terms and limitations apply. See onstar.com or dealer for details.",1. Terms and limitations apply. See onstar.com or dealer for details.,S1,S1,S1,S1,S1,S1
U5G,"5G vehicle connectivity
1. Terms and limitations apply. See onstar.com or dealer for details.",1. Terms and limitations apply. See onstar.com or dealer for details.,S1,S1,S1,S1,S1,S1
UQT,Performance data and video recorder,,A,■,■,A,■,■
BV4,"Plaque, personalized, custom-made with your name or up to 24-character word or phrase limit and VIN
1. Available on SOLD orders only. (CFX) Personalized plaque is already included in (R8C) Corvette Museum Delivery.",1. Available on SOLD orders only. (CFX) Personalized plaque is already included in (R8C) Corvette Museum Delivery.,A1,A1,A1,A1,A1,A1
CFX,"Plaque, personalized with Corvette Museum logo, your name and VIN
1. Included and only available with (R8C) Corvette Museum Delivery.",1. Included and only available with (R8C) Corvette Museum Delivery.,A1,A1,A1,A1,A1,A1
UVB,HD Rear Vision Camera,,S,--,--,S,--,--
UVA,"HD Front and Rear Vision Cameras, front camera is curb view",,--,■,■,--,■,■
,Remote vehicle starter system,,S,S,S,S,S,S
719,"Seat belt color, Black
1. Not available with (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior. (HZN, HUF) Natural Dipped interiors and (EJH, EPX) Very Dark Atmosphere interiors comes with (3N9) Natural seat belt color; (H8T) Santorini Blue interior and (HAG) Asymmetrical Santorini Blue/Jet Black interior comes with (3A9) Santorini Blue seat belt color; (HNK) Adrenaline Red Dipped interior, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior and (EL9) Santorini Blue Dipped with Torch Red accents interior comes with (3F9) Torch Red seat belt color; (HUW, HUX) Habanero interior comes with (379) Orange seat belt color.","1. Not available with (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior. (HZN, HUF) Natural Dipped interiors and (EJH, EPX) Very Dark Atmosphere interiors comes with (3N9) Natural seat belt color; (H8T) Santorini Blue interior and (HAG) Asymmetrical Santorini Blue/Jet Black interior comes with (3A9) Santorini Blue seat belt color; (HNK) Adrenaline Red Dipped interior, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior and (EL9) Santorini Blue Dipped with Torch Red accents interior comes with (3F9) Torch Red seat belt color; (HUW, HUX) Habanero interior comes with (379) Orange seat belt color.",S,S,S1,S,S,S1
379,"Seat belt color, Orange
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not available with (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (EJH, EPX) Very Dark Atmosphere interiors, (H8T) Santorini Blue interior or (EL9) Santorini Blue Dipped with Red accents interior. Included with (HUW, HUX) Habanero interiors.","1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not available with (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (EJH, EPX) Very Dark Atmosphere interiors, (H8T) Santorini Blue interior or (EL9) Santorini Blue Dipped with Red accents interior. Included with (HUW, HUX) Habanero interiors.",A1,A1,A2,A1,A1,A2
3N9,"Seat belt color, Natural
1. Recommended with (HTA, HTJ) Jet Black interior.
2. Recommended with (H1Y, HTM, HTP) Jet Black interior or (HTN, HTQ, HUV) Natural interior.
3. Recommended with (HMO, HTE, HTT, HU0, HVV, HXO) Jet Black interiors, (HUB, HUC) Ultimate Suede Jet Black interiors or (HTG, HUE) Natural interiors. Included with (HUF, HZN) Natural Dipped interiors and (EJH, EPX) Very Dark Atmosphere interiors. Not available with (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior.","1. Recommended with (HTA, HTJ) Jet Black interior.
2. Recommended with (H1Y, HTM, HTP) Jet Black interior or (HTN, HTQ, HUV) Natural interior.
3. Recommended with (HMO, HTE, HTT, HU0, HVV, HXO) Jet Black interiors, (HUB, HUC) Ultimate Suede Jet Black interiors or (HTG, HUE) Natural interiors. Included with (HUF, HZN) Natural Dipped interiors and (EJH, EPX) Very Dark Atmosphere interiors. Not available with (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior.",A1,A2,A3,A1,A2,A3
3A9,"Seat belt color, Santorini Blue
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not available with (HVZ) Asymmetrical Adrenaline Red/Jet Black interior. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUW, HUX) Habanero interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (H8T) Santorini Blue interior and (HAG) Asymmetrical Santorini Blue/Jet Black interior.","1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not available with (HVZ) Asymmetrical Adrenaline Red/Jet Black interior. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUW, HUX) Habanero interiors or (EJH, EPX) Very Dark Atmosphere interiors. Included with (H8T) Santorini Blue interior and (HAG) Asymmetrical Santorini Blue/Jet Black interior.",A1,A1,A2,A1,A1,A2
3F9,"Seat belt color, Torch Red
1. Not available with (HAG) Asymmetrical Santorini Blue/Jet Black interior. Not recommended with (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors or (H8T) Santorini Blue interior. Included with (HNK) Adrenaline Red Dipped interior, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior, (EL9) Santorini Blue Dipped with Red accents interior and (Z25) Grand Sport Launch Edition.","1. Not available with (HAG) Asymmetrical Santorini Blue/Jet Black interior. Not recommended with (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors or (H8T) Santorini Blue interior. Included with (HNK) Adrenaline Red Dipped interior, (HVZ) Asymmetrical Adrenaline Red/Jet Black interior, (EL9) Santorini Blue Dipped with Red accents interior and (Z25) Grand Sport Launch Edition.",A,A,A1,A,A,A1
3M9,"Seat belt color, Yellow
1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not available with (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUF, HZN) Natural Dipped interiors, (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors, (H8T) Santorini Blue interior or (EL9) Santorini Blue Dipped with Red accents interior.","1. Not recommended with (HUQ, HU7, HUL, HUR) Adrenaline Red interiors. 
2. Not available with (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior. Not recommended with (HU2, HUA, HUU, HZP) Adrenaline Red interiors, (HNK) Adrenaline Red Dipped interior, (HUF, HZN) Natural Dipped interiors, (HUW, HUX) Habanero interiors, (EJH, EPX) Very Dark Atmosphere interiors, (H8T) Santorini Blue interior or (EL9) Santorini Blue Dipped with Red accents interior.",A1,A1,A2,A1,A1,A2
AQ9,"Seats, GT1 bucket",,S,S,--,S,S,--
AH2,"Seats, GT2 bucket",,--,A,■,--,A,■
AE4,"Seats, Competition Sport bucket",,A,A,A,A,A,A
AUP,"Seats, mixed, driver Competition Sport bucket, passenger GT2 bucket
1. Requires (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior.",1. Requires (HVZ) Asymmetrical Adrenaline Red/Jet Black interior or (HAG) Asymmetrical Santorini Blue/Jet Black interior.,--,--,A1,--,--,A1
KQV,"Seats, heated and vented driver and passenger",,--,■,■,--,■,■
A2X,"Seat adjuster, driver 8-way power",,S,S,S,S,S,S
A7K,"Seat adjuster, passenger 8-way power",,S,S,S,S,S,S
AL9,"Seat adjuster, power driver lumbar control",,--,■,■,--,■,■
AT9,"Seat adjuster, power passenger lumbar control",,--,■,■,--,■,■
AHE,"Seat adjuster, driver power bolster",,--,■,■,--,■,■
AHH,"Seat adjuster, passenger power bolster",,--,■,■,--,■,■
N38,"Steering column, power tilt and telescopic",,S,S,S,S,S,S
NK4,"Steering wheel, leather-wrapped",,S,S,S,S,S,S
KI3,"Steering wheel, heated",,--,■,■,--,■,■
,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center",,S,S,S,S,S,S
BAZ,"Stealth Interior Trim Package, dark finish aluminum trim",,--,A,A,--,A,A
,"Custom Leather Wrapped Interior Package, features leather-wrapped upper instrument panel, door trim panels and console
1. When (HUB/HUC) Ultimate Suede Jet Black is ordered, the instrument panel, door trim panels and console will be suede.","1. When (HUB/HUC) Ultimate Suede Jet Black is ordered, the instrument panel, door trim panels and console will be suede.",--,--,■1,--,--,■1
IWE,"Sueded Microfiber-Wrapped Upper Interior Trim Package, includes headliner, visors, trim above windshield and rear window, and A-pillar trim",,--,--,■,--,--,■
FA5,"Trim, interior, carbon fiber cluster-surround and console/door switch plates",,--,A,A,--,A,A
TDM,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver",,S,S,S,S,S,S
,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm",,S,S,S,S,S,S
UTJ,"Theft-deterrent system, electrical, unauthorized entry, activates the horn",,--,■,■,--,■,■
UTU,"Theft deterrent sensor, vehicle inclination",,--,■,■,--,■,■
UTV,"Theft deterrent sensor, vehicle interior movement",,--,■,■,--,■,■
,"Trunk release, push button open",,--,--,--,S,S,S
UG1,"Universal Home Remote, includes garage door opener, 3-channel programmable, located on driver visor ",,--,■,■,--,■,■
VHM,"Vehicle health management, provides advanced warning of vehicle issues",,S,S,S,S,S,S
,"Visors, driver and passenger illuminated vanity mirrors, covered",,S,S,S,S,S,S
,"Windows, power with driver and passenger Express-Down/Up",,S,S,S,S,S,S
PPW,Wireless Apple CarPlay/Wireless Android Auto,,S,S,S,S,S,S
K7A,"Wireless Phone Charging, wireless charging pad for phone or portable devices, located on center console",,S,--,--,S,--,--
K7B,"Wireless Phone Charging, 2 wireless charging pads for phone or portable devices, located on center console and between seatbacks",,--,■,■,--,■,■
